,caption,video_id,video,frame,results_st,results_lt
58,man is sitting in a car and smoking a cigarette, 003502_1033 ,3502,1033,0.8301210382151928,0.7801358714924308
59,woman is looking at a man and smiling, 003502_1116 ,3502,1116,0.8297196488802114,0.7799403613969104
60,woman is looking at a man and then he looks away, 003502_1170 ,3502,1170,0.8297775908603348,0.7797854316641014
61,man is walking through a door and then he stops, 003502_1239 ,3502,1239,0.8299960277412142,0.7800421701099709
62,man is looking at a woman and then she looks away, 003502_1345 ,3502,1345,0.8297775908569908,0.7797854316669823
63,man is dancing in a room with a lot of lights,004001_118 ,4001,118,0.8298837890928513,0.7799378663179257
64,clock on a wall above a window,004001_270 ,4001,270,0.8304959009123186,0.780043906760746
65,woman is walking down a hallway with a serious look on her face,004001_370 ,4001,370,0.8299664700038796,0.7799447387223216
66,man is walking down a hallway and then stops,004001_484 ,4001,484,0.830014585207893,0.7801103646309583
67,woman is walking down a hallway and then stops,004001_564 ,4001,564,0.8300416083264504,0.7801641161904806
68,woman in a black dress is walking down a hallway,004001_711 ,4001,711,0.8298654274295033,0.7803026434480584
69,man is walking through a room with a lot of <unk>,004001_851 ,4001,851,0.830013983002631,0.7800786802496374
70,woman is walking down a hallway with a man,004001_913 ,4001,913,0.8298782826737007,0.7801944400434795
71,man is looking at a woman and then she looks away,004001_988 ,4001,988,0.8297775908569908,0.7797854316669823
72,man is dancing in front of a woman,004001_1051 ,4001,1051,0.8296776007681591,0.7799692333645348
73,man is walking and smiling at something, 004001_1095 ,4001,1095,0.829825078263706,0.7799663984322854
74,man and woman are kissing in a crowded room, 004001_1132 ,4001,1132,0.8299963979455756,0.7801725695657017
75,man in a suit is walking down a hallway, 004001_1174 ,4001,1174,0.8299376739592398,0.7801980148461248
76,woman is talking to a man and he is talking to her, 004001_1235 ,4001,1235,0.829745876477779,0.77989750753754
77,man is smiling and laughing at something, 004001_1352 ,4001,1352,0.8299330376842695,0.7799994410522623
78,man and a woman are walking down a hallway, 004001_1470 ,4001,1470,0.8298782826595273,0.7801944400349138
79,man is walking through a room with a lot of people, 004001_1541 ,4001,1541,0.8298290042133145,0.7798820868349768
80,man is wearing a hat and smiling, 004001_1618 ,4001,1618,0.8297097783240507,0.7801264516784112
81,man is walking through a room with a woman, 004001_1695 ,4001,1695,0.8297980216397371,0.780065174862673
82,man is walking down a hallway and then falls, 004001_1758 ,4001,1758,0.8300494898440851,0.7800856353254437
83,woman is sitting on a bed and talking, 004001_1879 ,4001,1879,0.8301155093722424,0.7802113821342617
84,man is walking in a room with a lot of people, 004001_1993 ,4001,1993,0.8298290042133145,0.7798820868349768
85,woman is sitting on a couch and talking, 004001_2060 ,4001,2060,0.8300591003083879,0.7801204625016626
86,man is walking in a room with a lot of people, 004001_2149 ,4001,2149,0.8298290042133145,0.7798820868349768
87,woman is walking down a hallway and then she stops, 004001_2252 ,4001,2252,0.8300416083264504,0.7801641161904806
88,man is walking in a room with a lot of people, 004001_2347 ,4001,2347,0.8298290042133145,0.7798820868349768
89,woman is dancing in a room, 004001_2406 ,4001,2406,0.8298282707361818,0.7800888448511618
90,man is looking at something and then looks away, 004001_2465 ,4001,2465,0.829855539453302,0.7797040001132404
91,woman is sitting on a bed and talking, 004001_2545 ,4001,2545,0.8301155093722424,0.7802113821342617
92,man is dancing in a room with a lot of people, 004001_2625 ,4001,2625,0.8297845763337971,0.7798661964047654
93,man is looking at something and then looks up,004100_205 ,4100,205,0.8298209850429373,0.7797224995387969
94,man is hugging a woman and kissing her,004100_431 ,4100,431,0.8299847088433472,0.780264693554504
95,man is sitting on a couch and talking,004100_551 ,4100,551,0.8300320771968648,0.7800667109550797
96,man is sitting on a sofa and is talking to a woman,004100_675 ,4100,675,0.8299822542509845,0.7801049215665592
97,man is sitting on a bed and smiling,004100_789 ,4100,789,0.8300894291268877,0.7802348198233946
98,man is sitting on a bed and is smiling,004100_980 ,4100,980,0.8300894291268877,0.7802348198233946
99,man is sitting on a couch and is dancing,004100_1138 ,4100,1138,0.8299573655017058,0.7801403389937951
100,man is dancing in a room with a woman,004100_1228 ,4100,1228,0.8297424867658199,0.7800453117997015
101,man is laying on a bed and talking,004100_1285 ,4100,1285,0.8301912680631256,0.7802071598017465
102,man is laying on a bed and smiling,004100_1360 ,4100,1360,0.8301922109276976,0.7802843490430839
103,man is lying on a bed and smiling, 004100_1560 ,4100,1560,0.8301624867758118,0.7803173342578321
104,person is laying down on a bed, 004100_1727 ,4100,1727,0.8304020077952605,0.7803716319408069
105,person is laying on a bed and talking, 004100_1780 ,4100,1780,0.8302896488240863,0.7802219237928737
106,person is putting their hand on their face, 004100_1842 ,4100,1842,0.8300187984552225,0.7798162000918635
107,man is sitting on a couch and talking, 004100_1900 ,4100,1900,0.8300320771968648,0.7800667109550797
108,man is sitting in a chair with a laptop,004303_13 ,4303,13,0.8301170278358346,0.780083627287031
109,man is playing a keyboard and a woman is playing a guitar,004303_56 ,4303,56,0.8296851279557041,0.7797431277714865
110,man is sitting on a sofa and is talking to another man,004303_165 ,4303,165,0.829939031003544,0.7799793496201004
111,man is talking to a woman and she is smiling,004303_290 ,4303,290,0.8297468193559066,0.779974696784824
112,man is sitting on a couch and smoking a cigarette,004303_369 ,4303,369,0.8301871494657318,0.780212245693039
113,man is looking at something and then looks away,004303_420 ,4303,420,0.829855539453302,0.7797040001132404
114,man is sitting on a couch and smoking a cigarette,004303_472 ,4303,472,0.8301871494657318,0.780212245693039
115,man is talking to a woman and she is smiling,004303_550 ,4303,550,0.8297468193559066,0.779974696784824
116,man is sitting on a couch and smoking a cigarette,004303_703 ,4303,703,0.8301871494657318,0.780212245693039
117,man is talking to a woman and she is smiling,004303_833 ,4303,833,0.8297468193559066,0.779974696784824
118,man is putting his hand on a woman s face, 004303_873 ,4303,873,0.8298549796267167,0.7798670926785253
119,man is dancing in a room with a lot of people, 004303_916 ,4303,916,0.8297845763337971,0.7798661964047654
120,group of people standing around a tv, 004303_959 ,4303,959,0.8298127845475369,0.7796123690631162
121,man is looking at a woman and then she looks away, 004303_996 ,4303,996,0.8297775908569908,0.7797854316669823
122,man is looking at something and smiling, 004303_1034 ,4303,1034,0.8298170846046917,0.779838571934558
123,man is walking down a hallway with a woman, 004303_1080 ,4303,1080,0.8298782826706153,0.7801944400434275
124,man is walking through a room with a lot of people, 004303_1157 ,4303,1157,0.8298290042133145,0.7798820868349768
125,window with a view of a window with a bird flying over it, 004303_1265 ,4303,1265,0.8303350884386563,0.7800516470960469
126,young man is talking and smiling while sitting in a chair,100900_16 ,100900,16,0.8298130785270844,0.7799086185648789
127,man is looking at a woman and then he looks away,100900_78 ,100900,78,0.8297775908569908,0.7797854316669823
128,man is holding a baby and smiling,100900_175 ,100900,175,0.8299923689945818,0.7800663734679718
129,man is talking to a woman and she is smiling,100900_332 ,100900,332,0.8297468193559066,0.779974696784824
130,man is looking at a woman and she is talking to him,100900_498 ,100900,498,0.8297187060203187,0.7798631721705017
131,man is sitting in a chair and talking,100900_654 ,100900,654,0.8299153815387995,0.7799594924474343
132,man is looking at a woman and then he looks away,100900_784 ,100900,784,0.8297775908569908,0.7797854316669823
133,man is talking to a woman and she is smiling,100900_853 ,100900,853,0.8297468193559066,0.779974696784824
134,man is looking at a woman and then he looks away,100900_967 ,100900,967,0.8297775908569908,0.7797854316669823
135,man is talking to a woman and she is smiling,100900_1061 ,100900,1061,0.8297468193559066,0.779974696784824
136,man wearing a hat is talking and smiling, 100900_1100 ,100900,1100,0.8297583370386433,0.7800557212023289
137,man is smiling and laughing while holding a microphone, 100900_1154 ,100900,1154,0.8300253771477227,0.7800897885247599
138,man is sitting on a couch and he is eating, 100900_1296 ,100900,1296,0.830158338866375,0.7802830103667396
139,man is talking and smiling while holding a cup, 100900_1455 ,100900,1455,0.8297154656574663,0.7796948713441516
140,person is putting a pair of scissors on a table, 100900_1541 ,100900,1541,0.8301315547454362,0.7799936844406844
141,man is holding a box and then <unk>, 100900_1596 ,100900,1596,0.8301241550477431,0.7801425977070384
142,man is talking and smiling while holding a cup, 100900_1642 ,100900,1642,0.8297154656574663,0.7796948713441516
143,woman is talking to a man and he is smiling, 100900_1720 ,100900,1720,0.8297468193553279,0.7799746967893522
144,man is talking and smiling while wearing a hat, 100900_1826 ,100900,1826,0.8297583370434014,0.7800557212059381
145,woman is sitting on a bed and talking, 100900_1982 ,100900,1982,0.8301155093722424,0.7802113821342617
146,man is talking and smiling while wearing a hat, 100900_2209 ,100900,2209,0.8297583370434014,0.7800557212059381
147,woman is sitting on a couch and talking, 100900_2403 ,100900,2403,0.8300591003083879,0.7801204625016626
148,man is holding a cell phone in his hand, 100900_2508 ,100900,2508,0.8300895385773817,0.7799222753839229
149,woman is holding her hair and smiling, 100900_2578 ,100900,2578,0.8299401466491442,0.7801258427599147
150,cat is playing with a toy,101803_13 ,101803,13,0.8300801904340865,0.7799262361724635
151,man is walking down a hallway and then falls,101803_138 ,101803,138,0.8300494898440851,0.7800856353254437
152,row of metal boats sitting on top of a wooden floor,101803_326 ,101803,326,0.8301433664950757,0.7800818475575336
153,clock tower with a clock on each of it s sides,101803_492 ,101803,492,0.8302790766756295,0.7799247459826306
154,man is standing in front of a large clock,101803_679 ,101803,679,0.8299813573305012,0.7799005366946892
155,man is looking at a woman and she is talking to him,101803_846 ,101803,846,0.8297187060203187,0.7798631721705017
156,woman is sitting on a chair and then she falls down,101803_967 ,101803,967,0.8300237756698766,0.7799936691767873
157,man is jumping on a bed and falls,101803_1036 ,101803,1036,0.8302036634356431,0.7800861007807396
158,woman is kissing a man s hand,101803_1076 ,101803,1076,0.8299577898853544,0.780105536705146
159,man is looking at a woman and she looks away,101803_1135 ,101803,1135,0.8297775908569908,0.7797854316669823
160,man is jumping on a chair and then falls, 101803_1206 ,101803,1206,0.8300305587185519,0.7798879626484402
161,woman is kissing a man s hand, 101803_1351 ,101803,1351,0.8299577898853544,0.780105536705146
162,man is dancing in front of a christmas tree, 101803_1570 ,101803,1570,0.8299813083014751,0.7801692397654798
163,man is jumping on a stage and falls, 101803_1701 ,101803,1701,0.8298504577513256,0.7797036151070611
164,man is jumping on a trampoline and falls, 101803_1740 ,101803,1740,0.830108871483237,0.7799535146835771
165,man is jumping off of a building, 101803_1783 ,101803,1783,0.8298931450540872,0.7799088190316615
166,plane flies through the sky as it flies through the sky, 101803_1831 ,101803,1831,0.8301806252674502,0.7800085824640735
167,man is looking at a woman and she is talking,102404_52 ,102404,52,0.8297187060203187,0.7798631721705017
168,man is looking at a woman and she is talking to him,102404_182 ,102404,182,0.8297187060203187,0.7798631721705017
169,man is holding a gun and shooting a gun,102404_283 ,102404,283,0.8299804037465293,0.7799439250605457
170,man is looking at a woman and then he looks away,102404_349 ,102404,349,0.8297775908569908,0.7797854316669823
171,man is sitting on a couch and is smoking a cigarette,102404_468 ,102404,468,0.8301871494657318,0.780212245693039
172,man is looking at something and then looks away,102404_709 ,102404,709,0.829855539453302,0.7797040001132404
173,man is kissing a woman on the cheek,102404_910 ,102404,910,0.8300738787363617,0.780249217835845
174,man is looking at a woman and then she looks away,102404_974 ,102404,974,0.8297775908569908,0.7797854316669823
175,man is kissing a woman on the cheek,102404_1032 ,102404,1032,0.8300738787363617,0.780249217835845
176,woman is talking to a man and he is smiling,102706_16 ,102706,16,0.8297468193553279,0.7799746967893522
177,man is playing a piano and singing,102706_65 ,102706,65,0.8296337236638374,0.7798054115367475
178,man is laying on a bed with a woman,102706_122 ,102706,122,0.8301014319050128,0.7802963896850289
179,man is dancing in a room with a lot of people,102706_241 ,102706,241,0.8297845763337971,0.7798661964047654
180,man is sitting on a bed with a laptop,102706_363 ,102706,363,0.8302901325564894,0.7802817654171886
181,man is walking through a room with a woman,102706_427 ,102706,427,0.8297980216397371,0.780065174862673
182,shirtless man is dancing in a bathroom,102706_494 ,102706,494,0.8300389293005278,0.7803669055716133
183,shirtless man is dancing in a room,102706_551 ,102706,551,0.8298902567924097,0.7801722952825066
184,man is sitting on a bed with a laptop,102706_613 ,102706,613,0.8302901325564894,0.7802817654171886
185,man is sitting on a couch and is smiling,102706_710 ,102706,710,0.8300330200545423,0.7801439001842249
186,woman is dancing in a room, 102706_804 ,102706,804,0.8298282707361818,0.7800888448511618
187,man is sitting on a bed with a woman, 102706_853 ,102706,853,0.8299986501013439,0.7802468604683914
188,woman is dancing in a room, 102706_927 ,102706,927,0.8298282707361818,0.7800888448511618
189,woman is dancing in a room, 102706_1027 ,102706,1027,0.8298282707361818,0.7800888448511618
190,man is sitting on a bed with a woman, 102706_1089 ,102706,1089,0.8299986501013439,0.7802468604683914
191,woman is dancing in a room, 102706_1138 ,102706,1138,0.8298282707361818,0.7800888448511618
192,man is sitting on a bed with a woman, 102706_1195 ,102706,1195,0.8299986501013439,0.7802468604683914
193,man is dancing in a room, 102706_1258 ,102706,1258,0.8297922399225807,0.7800171761064492
194,man is sitting on a bed and smiling, 102706_1355 ,102706,1355,0.8300894291268877,0.7802348198233946
195,woman is holding a phone and talking to someone, 102706_1491 ,102706,1491,0.8299863683544911,0.7798910368304915
196,man is dancing in a room with a lot of people, 102706_1602 ,102706,1602,0.8297845763337971,0.7798661964047654
197,man is sitting on a bed and smiling, 102706_1671 ,102706,1671,0.8300894291268877,0.7802348198233946
198,shirtless man is dancing in a room, 102706_1767 ,102706,1767,0.8298902567924097,0.7801722952825066
199,man is sitting on a couch and talking, 102706_1864 ,102706,1864,0.8300320771968648,0.7800667109550797
200,man laying on a bed with a laptop, 102706_1927 ,102706,1927,0.8303929143610818,0.780331294640573
201,shirtless man is talking to a woman, 102706_2064 ,102706,2064,0.8298038103536057,0.7801137209128062
202,man is sitting on a couch and talking, 102706_2213 ,102706,2213,0.8300320771968648,0.7800667109550797
203,shirtless man is dancing in a room, 102706_2295 ,102706,2295,0.8298902567924097,0.7801722952825066
204,man is lying on a bed and talking, 102706_2376 ,102706,2376,0.8301615439189676,0.7802401450297194
205,man laying on a bed with a laptop, 102706_2517 ,102706,2517,0.8303929143610818,0.780331294640573
206,woman is dancing in a room, 102706_2659 ,102706,2659,0.8298282707361818,0.7800888448511618
207,man is sitting on a bed with a woman, 102706_2863 ,102706,2863,0.8299986501013439,0.7802468604683914
208,man is dancing in a kitchen, 102706_3050 ,102706,3050,0.8299474178890943,0.7802126640024128
209,table and chairs sitting in front of a window,103311_47 ,103311,47,0.8301667456756545,0.7799809770733007
210,man is playing a game of tennis,103311_146 ,103311,146,0.8292956810637545,0.7791473928410811
211,person holding a camera in a bathroom,103311_218 ,103311,218,0.8302510670552112,0.7800914512970584
212,man in a suit is walking down a street,103311_253 ,103311,253,0.8297597636230845,0.7800417810189393
213,person holding a camera in a bathroom,103311_282 ,103311,282,0.8302510670552112,0.7800914512970584
214,man is smiling and laughing while wearing a white shirt,103311_341 ,103311,341,0.8297612837465508,0.7801828098434369
215,man is wearing a suit and a tie,103311_429 ,103311,429,0.8296298466278875,0.7799839241410025
216,man in a suit is sitting on a bench,103311_507 ,103311,507,0.8297956243799677,0.7799211699549592
217,person holding a camera while standing in front of a mirror,103311_570 ,103311,570,0.8300736108250616,0.7798447789564787
218,man taking a picture of himself in the mirror,103311_621 ,103311,621,0.8299393462565456,0.7797883902774154
219,woman is eating a sandwich and smiling, 103311_669 ,103311,669,0.8301559645564351,0.7804234766823384
220,man in a suit is standing in front of a window, 103311_718 ,103311,718,0.8299586405730263,0.7799651945445275
221,person holding a camera in front of a mirror, 103311_771 ,103311,771,0.8301221173895772,0.7798675888167986
222,man is walking and smiling while holding a microphone, 103311_823 ,103311,823,0.8299390096152625,0.7800633544357964
223,man in a suit is walking down a street, 103311_909 ,103311,909,0.8297597636230845,0.7800417810189393
224,man in a green shirt is standing in front of a window, 103311_1041 ,103311,1041,0.8299641060087896,0.7800545664378703
225,man is walking down a street with a surfboard, 103311_1144 ,103311,1144,0.8300042805723473,0.7802138675239763
226,man is sitting on a bench and smiling, 103311_1195 ,103311,1195,0.8298270121194132,0.7799055544990549
227,man is walking down a street with a surfboard, 103311_1261 ,103311,1261,0.8300042805723473,0.7802138675239763
228,man is walking down a hallway with a woman, 103311_1337 ,103311,1337,0.8298782826706153,0.7801944400434275
229,person is pouring a drink into a glass, 103311_1383 ,103311,1383,0.8303631644651293,0.7803550887235686
230,man in a suit is walking through a forest, 103311_1440 ,103311,1440,0.8298019578077286,0.7800920393813181
231,man holding a camera while standing in front of a mirror, 103311_1499 ,103311,1499,0.8300080236496995,0.7798349362947907
232,man is holding a microphone and singing, 103311_1547 ,103311,1547,0.8299057397627707,0.7800630945777861
233,man is walking down a street and then he stops, 103311_1617 ,103311,1617,0.8298366748624117,0.7799541307970992
234,man is walking and then he <unk> his hands, 103311_1676 ,103311,1676,0.8300497003388514,0.7801626453085113
235,woman is talking to a man and smiling,103312_16 ,103312,16,0.8297468193553279,0.7799746967893522
236,man and a woman are kissing in a forest,103312_80 ,103312,80,0.8299116133770489,0.780174622120862
237,man is dancing in front of a woman,103312_203 ,103312,203,0.8296776007681591,0.7799692333645348
238,man is looking at a woman and smiling,103312_306 ,103312,306,0.829719648874493,0.7799403613854956
239,man and a woman are kissing in a dark room,103312_373 ,103312,373,0.8299848729349556,0.7802274966972815
240,man is looking at something and then looks away,103312_498 ,103312,498,0.829855539453302,0.7797040001132404
241,man and a woman are kissing in a room,103312_616 ,103312,616,0.8299670684934479,0.7801513324044271
242,man is looking at something and then looks away,103312_679 ,103312,679,0.829855539453302,0.7797040001132404
243,woman is looking at something and smiling,103312_786 ,103312,786,0.8298441077327187,0.7798923235053796
244,woman is looking at a man and smiling,103312_881 ,103312,881,0.8297196488802114,0.7799403613969104
245,man and a woman are kissing in a room, 103312_939 ,103312,939,0.8299670684934479,0.7801513324044271
246,man and a woman are kissing each other, 103312_1102 ,103312,1102,0.8298768047259738,0.7801786084785086
247,man is talking to a woman and she is smiling, 103312_1270 ,103312,1270,0.8297468193559066,0.779974696784824
248,cat is playing with a toy,200310_19 ,200310,19,0.8300801904340865,0.7799262361724635
249,man is sitting in a chair and talking to a woman,200310_91 ,200310,91,0.8298509506956756,0.7799935377376348
250,man is sitting in a chair and smoking a cigarette,200310_215 ,200310,215,0.8300937929239086,0.7801264708887085
251,man is dancing in front of a woman,200310_386 ,200310,386,0.8296776007681591,0.7799692333645348
252,man is dancing in front of a woman,200310_551 ,200310,551,0.8296776007681591,0.7799692333645348
253,plate with a piece of chocolate cake and a fork,200310_638 ,200310,638,0.8304667500101539,0.7804839328075968
254,man is looking at something and then looks away,200310_691 ,200310,691,0.829855539453302,0.7797040001132404
255,man is dancing in a room with a lot of people,200310_745 ,200310,745,0.8297845763337971,0.7798661964047654
256,man is walking through a room and then he stops,200310_805 ,200310,805,0.8299343241721324,0.7799810994506503
257,man is sitting on a couch and talking,200310_890 ,200310,890,0.8300320771968648,0.7800667109550797
258,woman is dancing in front of a mirror,200609_14 ,200609,14,0.8299214552500846,0.7800042786574203
259,man is dancing in front of a christmas tree,200609_158 ,200609,158,0.8299813083014751,0.7801692397654798
260,man is dancing in front of a christmas tree,200609_302 ,200609,302,0.8299813083014751,0.7801692397654798
261,man is singing and dancing in front of a crowd,200609_353 ,200609,353,0.8296652681189128,0.7799160740863754
262,vase with flowers in it is sitting on a table,200609_415 ,200609,415,0.8301935073063716,0.7802135731719607
263,man in a suit is smiling and talking,200609_485 ,200609,485,0.8298062106406503,0.7799782715860989
264,man is playing a piano and singing,200609_552 ,200609,552,0.8296337236638374,0.7798054115367475
265,man is walking in a room with a <unk>,200609_627 ,200609,627,0.8300589789681468,0.7802084410182721
266,man is looking at a woman and then she looks away,200609_724 ,200609,724,0.8297775908569908,0.7797854316669823
267,man is taking a picture of a woman in a bathroom,200609_830 ,200609,830,0.8299445218707309,0.7800152663020085
268,man in a suit is smiling and talking, 200609_959 ,200609,959,0.8298062106406503,0.7799782715860989
269,woman is dancing in a bathroom, 200609_1048 ,200609,1048,0.8300265007372497,0.7803483252171098
270,man is dancing in a room with a woman, 200609_1120 ,200609,1120,0.8297424867658199,0.7800453117997015
271,man is holding a woman s hand and kisses her, 200609_1235 ,200609,1235,0.8299301754653017,0.7800124818295762
272,man is talking to another man and he is talking to him, 200609_1528 ,200609,1528,0.8297412841284262,0.7797883040121895
273,woman is doing a handstand on a mat,201313_22 ,201313,22,0.8302845695702283,0.7803385224414624
274,woman is walking down the street with a black dress,201313_64 ,201313,64,0.8297230991675264,0.7801776563882977
275,man is walking and smiling while sitting in a car,201313_107 ,201313,107,0.8299354777364685,0.7800680987058821
276,man is jumping on a trampoline and falls,201313_167 ,201313,167,0.830108871483237,0.7799535146835771
277,man is talking to a woman and she is smiling,201313_268 ,201313,268,0.8297468193559066,0.779974696784824
278,man is jumping over a fence and falls,201313_379 ,201313,379,0.8300666645884263,0.7799193451018653
279,man is jumping on a trampoline and falls,201313_493 ,201313,493,0.830108871483237,0.7799535146835771
280,man is running through a forest and then falls,201313_583 ,201313,583,0.829947892260865,0.7798163802006298
281,man is looking at something and then looks away,201313_640 ,201313,640,0.829855539453302,0.7797040001132404
282,man is sitting on a bench in a field,201313_699 ,201313,699,0.8296981690711035,0.7796421130853953
283,man is looking at something and then looks away, 201313_740 ,201313,740,0.829855539453302,0.7797040001132404
284,man is jumping on a skateboard and then slides down a rail, 201313_779 ,201313,779,0.8302026142299014,0.7799755050387275
285,bear is walking through the woods and a bird is on the back, 201313_835 ,201313,835,0.830153149073638,0.7801222946477685
286,man is playing a guitar and singing, 201313_883 ,201313,883,0.8296276012219573,0.7798229740583154
287,man is lying on the ground and looking around, 201313_925 ,201313,925,0.8299387810632883,0.7799157562884294
288,group of people are playing soccer in a field, 201313_966 ,201313,966,0.8293154255768745,0.7791777798008487
289,woman is talking to a man who is sitting in a chair,201500_53 ,201500,53,0.8298509506867982,0.779993537736992
290,man in a suit is smiling and talking,201500_135 ,201500,135,0.8298062106406503,0.7799782715860989
291,woman is talking to a man who is sitting in a chair,201500_188 ,201500,188,0.8298509506867982,0.779993537736992
292,man in a suit is walking down a hallway,201500_249 ,201500,249,0.8299376739592398,0.7801980148461248
293,woman is talking to a man and he is talking to her,201500_319 ,201500,319,0.829745876477779,0.77989750753754
294,woman sitting on a bench in a mall,201500_411 ,201500,411,0.829890803295905,0.7799756535018295
295,man is putting his hand on a woman s face,201500_499 ,201500,499,0.8298549796267167,0.7798670926785253
296,man in a suit is smiling and waving,201500_561 ,201500,561,0.829781235467055,0.7801299384822139
297,woman is talking to a man and he is smiling,201500_621 ,201500,621,0.8297468193553279,0.7799746967893522
298,man in a suit is smiling and talking,201500_703 ,201500,703,0.8298062106406503,0.7799782715860989
